grid_id,key,route,time,type,Unnamed: 0,card,stage
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:33:08,subway_on,457549.0,5487c0d73ca9f0f087e303bccbc90584,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:16:54,subway_off,457549.0,5487c0d73ca9f0f087e303bccbc90584,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:26:02,subway_on,457563.0,46737836b80b85c29fcdc6b07a5ce81b,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:13:48,subway_off,457563.0,46737836b80b85c29fcdc6b07a5ce81b,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:48:28,subway_on,457629.0,6644e9e2845f8bc3b6397c7cdb567e42,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:40:04,subway_off,457629.0,6644e9e2845f8bc3b6397c7cdb567e42,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:29:00,subway_on,457638.0,6be999e6ca3d448ff4c8e2befa790413,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:12:35,subway_off,457638.0,6be999e6ca3d448ff4c8e2befa790413,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:35:34,subway_on,457652.0,35a4395922c7d7b1bc9d278617b0edc9,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:25:25,subway_off,457652.0,35a4395922c7d7b1bc9d278617b0edc9,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:46:30,subway_on,457665.0,03dbf378d83fc8261a7d182bbd916e05,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:32:33,subway_off,457665.0,03dbf378d83fc8261a7d182bbd916e05,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:15:36,subway_on,457708.0,7f7d1cbb4ab36fbcfa50127b2e83a96a,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:59:54,subway_off,457708.0,7f7d1cbb4ab36fbcfa50127b2e83a96a,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:49:02,subway_on,457724.0,c67219b5af91db55f5c703ce2bb78d24,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:39:21,subway_off,457724.0,c67219b5af91db55f5c703ce2bb78d24,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:06:02,subway_on,457745.0,eefde7d62008922210dae3433898ec41,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:52:00,subway_off,457745.0,eefde7d62008922210dae3433898ec41,1
